"ID","SO_HOP_DONG","NGAY_KY","NGAY_HIEU_LUC","NGAY_KET_THUC","SO_PHU_LUC","ISACTIVE","GHI_CHU"
11818,"2627/HĐMB",01-05-2010,28-12-2009,,"01",2,""
18490,"2776/HĐMB",27-08-2007,01-07-2017,27-08-2057,"PL05",2,""
21107,"1910/MLMN-VTQT-DD",08-04-2020,01-04-2020,31-12-2024,"PL02-1910/MLMN-VTQT-DD",2,""
23068,"511-18/TT.MLMN-ĐVTT",30-05-2023,15-07-2023,31-07-2028,"1281/PLHĐ-MLMN-ĐVTT",2,""
18829,"418/HĐ-MLMN-ĐVTBD",15-11-2017,15-11-2017,14-05-2028,"418/HĐ-MLMN-ĐVTBD_PL01",2,""
21907,"1039/HĐLK-B.QLDAHT2-TC",22-01-2021,01-01-2021,18-10-2027,"PL01-2021/PLHD-GII-LK",2,""
22668,"811/HĐ-B.QLDAHT2",08-09-2022,01-07-2022,30-07-2027,"PL04 - 811/HĐ-B.QLDAHT2",2,""
21747,"792/HĐLK-B.QLDAHT2-ĐTV-BK",08-01-2021,01-01-2021,24-07-2027,"PL02-2021/PLHD-THAT",2,""
20556,"667/HĐLK-B.QLDAHT2-Cty COMAS ",05-05-2020,01-07-2020,30-05-2027,"55/PLHD1",2,"Trả về giá hiện tại sau COVID"
18810,"843/HĐ-MB-MLMN-ĐVTBD/2017",14-11-2017,14-11-2017,30-04-2027,"843/HĐ-MB-MLMN-ĐVTBD/2017_PL01",2,""
20689,"352/HĐLK-B.QLDAHT2-TC",06-08-2020,01-04-2020,,"04/MLMN-GTI BTS",2,""
22248,"273/HĐ-B.QLDAHT2",25-03-2022,27-06-2022,26-03-2027,"PL05-273/HĐ-B.QLDAHT2",2,""
22067,"01/MLMN-MIS2",22-10-2021,01-01-2022,31-12-2026,"PL05-01/MLMN-MIS2",2,""
22368,"01/MLMN-TL",25-08-2022,01-07-2022,31-12-2026,"PL09-01/MLMN-TL",2,""
20457,"01/MLMN-TL-RELOCATION",14-10-2019,01-01-2020,31-12-2021,"PL02-01/MLMN-TL-RELOCATION",2,""
22489,"01/MLMN-VNC55",12-07-2022,01-07-2022,31-12-2026,"PL09_MLMN-VNC55",2,""
21976,"02/MLMN-VNC55",23-11-2021,01-01-2022,31-12-2026,"PL12-02/MLMN-VNC55",2,""
21992,"12-2017/MLMN-Mts.,jsc",22-10-2021,01-01-2022,31-12-2026,"PL03-12-2017/MLMN-Mts.Jsc",2,""
22587,"12-2017/MLMN-Mts.,jsc",07-09-2022,01-10-2022,31-12-2026,"PL04/MLMN-VT DI DONG",2,""
21993,"12-2017/MLMN-Mts.,jsc",22-10-2021,01-01-2022,31-12-2026,"PL03-12-2017/MLMN-Mts.,Jsc",2,""
21932,"1507/MLMN-THAP VANG BTS",23-11-2021,01-01-2022,31-12-2026,"PL03-1507/MLMN-THAP VANG BTS",2,""
21927,"1507/MLMN-THAP VANG BTS",23-11-2021,01-01-2022,31-12-2026,"PL03-1507/MLMN-THAPVANG BTS",2,""
21928,"1507/MLMN-THAPVANG BTS",23-11-2021,01-01-2022,31-12-2026,"PL03-1507/MLMN-THAPVANG BTS",2,""
21751,"1908/MLMN-VTDĐ",01-06-2021,01-07-2021,31-12-2026,"PL02-1908/MLMN-VTDĐ",2,""
22270,"1941/MLMN-VTVN",20-04-2022,01-01-2022,31-12-2026,"PL04-1941/MLMN-VTVN",2,""
22347,"1966/MLMN-MIS II",20-07-2022,01-07-2022,31-12-2026,"PL09-1966/MLMN-MIS II",2,""
22536,"1971/MLMN-VNC55",12-07-2022,01-07-2022,31-12-2026,"PL13-1971/MLMN-VNC55",2,""
22379,"2015/MLMN-VNC55",11-07-2022,01-07-2022,30-06-2026,"PL04-2015/MLMN-VNC55",2,""
21908,"2018.10.1/MLMN-THAP VANG BTS",23-11-2021,01-01-2022,31-12-2026,"PL07-2018.10.1/MLMN-THAP VANG BTS",2,""
21867,"785/HĐLK-BHT2-ĐTV",07-07-2020,01-07-2020,07-11-2026,"03/PLHD",2,""
20530,"777/HĐLK-B.QLDAHT2-CTCOMAS",05-05-2020,01-07-2020,31-10-2026,"55/PLHĐ 1",2,"Trả lại Giá cũ sau COVID"
14050,"625/VMS.C2/ĐVT-T",30-09-2013,30-09-2013,30-09-2026,"000000",1,"Phu luc dau tien cua HD"
17354,"625/VMS.C2/ĐVT-T",01-09-2016,01-09-2016,30-09-2026,"01",2,"PHỤ LỤC TĂNG GIÁ VÀ GIA HẠN HỢP ĐỒNG"
21749,"1965/MLMN-VTQT",10-06-2021,01-01-2022,30-06-2026,"PL01-1965/MLMN-VTQT",2,""
21938,"20012/MLMN-MISII",25-05-2021,01-01-2022,30-06-2026,"PL02-20012/MLMN-MIS II",2,""
21308,"584/VMSC2-HĐKT",17-05-2021,01-07-2021,30-06-2026,"PL09/MLMN-VIETNAMBTS",2,""
21847,"276/HĐ-BHT2",10-05-2021,25-05-2021,24-05-2026,"PL05-276/HĐ-BHT2",2,""
20688,"195/HĐ-BHT2",07-07-2020,01-04-2020,,"04/MLMN-GTI BTS",2,""
22247,"149/HĐ-BHT2",21-07-2022,01-07-2022,20-04-2026,"PL03-149/HĐ.B.QLDAHT2",2,""
